,ITEM,BTOS (Heirarchy order),BTOS
396,577,400,E
397,597,101,A
398,598,103,B
399,599,101,A
400,600,103,B
401,601,101,A
402,602,101,A
403,603,101,A
404,696,103,B
405,697,103,B
406,698,103,B
407,700,102,M
408,701,102,M
409,702,102,M
410,703,102,M
411,704,102,M
412,705,102,M
413,706,102,M
414,707,102,M
415,708,102,M
416,709,102,M
417,710,102,M
418,711,110,O
419,712,102,M
420,713,102,M
421,714,102,M
422,715,102,M
423,716,102,M
424,717,102,M
425,718,102,M
426,719,102,M
427,720,102,M
428,721,102,M
429,722,102,M
430,723,102,M
431,724,102,M
432,725,102,M
433,726,102,M
434,727,102,M
435,728,102,M
436,729,102,M
437,730,102,M
438,731,102,M
439,732,102,M
440,734,102,M
441,735,102,M
442,736,102,M
443,738,102,M
444,739,102,M
445,740,102,M
446,742,102,M
447,743,102,M
448,744,102,M
449,746,102,M
450,747,102,M
451,748,400,E
452,749,102,M
453,750,102,M
454,751,400,E
455,752,400,E
456,753,400,E
457,754,400,E
458,755,400,E
459,756,400,E
460,757,102,M
461,758,102,M
462,759,102,M
463,760,400,E
464,762,102,M
465,764,400,E
466,765,102,M
467,767,400,E
468,768,102,M
469,770,1100,L
470,771,102,M
471,773,102,M
472,774,1100,L
473,775,102,M
474,777,1100,L
475,778,102,M
476,779,102,M
477,780,1100,L
478,781,1100,L
479,782,1100,L
480,783,1100,L
481,784,1100,L
482,785,1100,L
483,786,1100,L
484,787,400,E
485,790,400,E
486,791,600,G
487,793,600,G
488,794,600,G
489,795,1100,L
490,796,1100,L
491,797,1100,L
492,798,1100,L
493,799,1100,L
494,800,1100,L
495,801,200,C
496,802,1100,L
497,803,200,C
498,804,1100,L
499,805,200,C
500,806,1100,L
501,807,200,C
502,809,200,C
503,810,1100,L
504,811,200,C
505,813,200,C
506,814,1100,L
507,815,200,C
508,816,1100,L
509,817,1100,L
510,818,1100,L
511,819,1100,L
512,820,200,C
513,821,1100,L
514,822,200,C
515,823,200,C
516,824,1100,L
517,825,200,C
518,826,200,C
519,828,200,C
520,830,200,C
521,831,1100,L
522,832,200,C
523,833,1100,L
524,834,200,C
525,835,200,C
526,836,1100,L
527,837,200,C
528,838,200,C
529,839,1100,L
530,840,1100,L
531,841,1100,L
532,842,1100,L
533,843,1100,L
