DOC,CBCP,CBCO,CBSNT,GBC,GBSNT
2008,5,5,290,31.3,"1,141.80"
2009,5.3,5.3,318,32.9,"1,264.90"
2010,65.4,5.4,324,33.3,"1,281.30"
2011,75.6,5.6,336,34.2,"1,317.20"
2012,85.8,5.8,348,35.4,"1,363.30"
2013,5.9,5.9,354,36.1,"1,390.60"
2014,6,6,360,36.9,"1,421.20"
2015,6.1,6.1,366,37.7,"1,453.90"
2016,6.2,6.2,372,38.3,"1,475.70"
2017,6.3,6.3,378,38.8,"1,494.90"
2018,6.4,6.4,384,39.5,"1,521.80"
